time,procs,ws_total,priv_total,ws_python,priv_python,ws_root,cpu_load
2026-09-15T11:39:21.6345153-04:00,3,297402368,1255231488,247693312,1172307968,49709056,14
2026-09-15T11:39:23.5918666-04:00,3,357183488,1305722880,328937472,1244385280,28246016,22
2026-09-15T11:39:25.5171264-04:00,3,428711936,1368571904,400429056,1307234304,28282880,42
2026-09-15T11:39:27.5222028-04:00,3,477188096,1412722688,415449088,1318166528,61739008,37
2026-09-15T11:39:29.4619282-04:00,3,543424512,1480966144,423751680,1326698496,119672832,32
2026-09-15T11:39:31.4364112-04:00,3,503775232,1439158272,425984000,1328820224,77791232,35
2026-09-15T11:39:33.4557249-04:00,3,499744768,1435000832,427118592,1329868800,72626176,25
2026-09-15T11:39:35.4822689-04:00,3,556093440,1491460096,431308800,1334075392,124784640,32
2026-09-15T11:39:37.4254024-04:00,3,465641472,1400954880,433954816,1336770560,31686656,37
2026-09-15T11:39:39.3083510-04:00,3,489345024,1425096704,434335744,1337675776,55009280,15
2026-09-15T11:39:41.2043130-04:00,3,477941760,1413685248,434335744,1337675776,43606016,26
